;0;1;2;3;4;5
0;13700000;"
 2-к квартира, 65 м², 13/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_65_m_1325_et._1957193575;"
 Лукинская ул., 10
 ";Новопеределкино; 1,3 км
1;7912000;"
 2-к квартира, 43 м², 2/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_25_et._1425468560;"
 12-я Парковая ул., 5
 ";Первомайская; 900 м
2;9390000;"
 2-к квартира, 52.2 м², 4/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_52.2_m_417_et._2007316679;"
 Покровская ул., 17к2
 ";Некрасовка; 600 м
3;8667975;"
 2-к квартира, 59.3 м², 13/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_59.3_m_1325_et._1911609469;"
 Рождественская ул., 33
 ";Некрасовка; 200 м
4;9180000;"
 2-к квартира, 58.9 м², 13/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_58.9_m_1317_et._2007597957;"
 ул. Лавриненко, 1
 ";Некрасовка; 800 м
5;12350000;"
 2-к квартира, 55.6 м², 20/20 эт.
 ";/moskva/kvartiry/2-k_kvartira_55.6_m_2020_et._1957627345;"
 Ангарская ул., 45к3
 ";Селигерская; 2,3 км
6;8300000;"
 2-к квартира, 44.5 м², 2/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_44.5_m_29_et._2006693692;"
 Россошанская ул., 9к3
 ";Улица академика Янгеля; 800 м
7;7599000;"
 2-к квартира, 42 м², 5/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_42_m_55_et._1805257095;"
 Окская ул., 40
 ";Окская; 500 м
8;12000000;"
 2-к квартира, 53 м², 12/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_53_m_1212_et._1996606043;"
 Заповедная ул., 8
 ";Свиблово; 1,8 км
9;8800000;"
 2-к квартира, 47 м², 1/12 эт.
 ";/moskva/kvartiry/2-k_kvartira_47_m_112_et._1012911079;"
 Енисейская ул., 29
 ";Бабушкинская; 400 м
10;9019475;"
 2-к квартира, 72.1 м², 6/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_72.1_m_625_et._1625583587;"
 ул. Вертолётчиков, 1
 ";Некрасовка; 700 м
11;8500000;"
 2-к квартира, 60 м², 4/12 эт.
 ";/moskva_zelenograd/kvartiry/2-k_kvartira_60_m_412_et._1958269278;;Зеленоград;
12;7200000;"
 2-к квартира, 45 м², 4/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_45_m_45_et._1950536650;"
 ул. Юных Ленинцев, 121к1
 ";Кузьминки; 1,6 км
13;12800000;"
 2-к квартира, 58.7 м², 4/16 эт.
 ";/moskva/kvartiry/2-k_kvartira_58.7_m_416_et._1970040100;"
 ш. Энтузиастов, 80к1
 ";Перово; 1,5 км
14;14500000;"
 2-к квартира, 62.3 м², 4/8 эт.
 ";/moskva/kvartiry/2-k_kvartira_62.3_m_48_et._1981062335;"
 ул. Генерала Ермолова, 10/6
 ";Парк Победы; 300 м
15;7500000;"
 2-к квартира, 45.4 м², 2/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_45.4_m_25_et._1981411151;"
 11-я Парковая ул., 41к2
 ";Первомайская; 900 м
16;15000000;"
 2-к квартира, 51.2 м², 12/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_51.2_m_1225_et._2007887071;"
 Авиационная ул., 59
 ";Щукинская; 400 м
17;10900000;"
 2-к квартира, 51.9 м², 13/17 эт.
 ";/moskva/kvartiry/2-k_kvartira_51.9_m_1317_et._2009814862;"
 Каширское ш., 57к3
 ";Царицыно; 2,5 км
18;8150000;"
 2-к квартира, 43 м², 9/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_99_et._1990188843;"
 Россошанская ул., 11к3
 ";Улица академика Янгеля; 900 м
19;13999000;"
 2-к квартира, 55 м², 1/8 эт.
 ";/moskva/kvartiry/2-k_kvartira_55_m_18_et._2008427736;"
 Молодёжная ул., 3
 ";Университет; 800 м
20;7300000;"
 2-к квартира, 38 м², 3/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_38_m_39_et._1992390846;"
 ул. Академика Скрябина, 26к3
 ";Рязанский проспект; 1,3 км
21;11256326;"
 2-к квартира, 56 м², 5/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_56_m_59_et._1959498475;"
 2-й Грайвороновский пр., 38к1
 ";Стахановская; 800 м
22;8638825;"
 2-к квартира, 59.1 м², 17/25 эт.
 ";/moskva/kvartiry/2-k_kvartira_59.1_m_1725_et._1911629015;"
 Рождественская ул., 33
 ";Некрасовка; 200 м
23;7700000;"
 2-к квартира, 36.9 м², 3/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_36.9_m_39_et._2009349421;"
 ул. Плеханова, 3к1
 ";Шоссе Энтузиастов; 400 м
24;9200000;"
 2-к квартира, 38 м², 3/9 эт.
 ";/moskva/kvartiry/2-k_kvartira_38_m_39_et._1945535728;"
 ул. Госпитальный Вал, 10/12
 ";Лефортово; 800 м
25;14700000;"
 2-к квартира, 48 м², 2/20 эт.
 ";/moskva/kvartiry/2-k_kvartira_48_m_220_et._1959208586;"
 ул. Паршина, 10А
 ";Щукинская; 2,2 км
26;11950000;"
 2-к квартира, 44 м², 17/19 эт.
 ";/moskva/kvartiry/2-k_kvartira_44_m_1719_et._1986429784;"
 1-й Нагатинский пр., 14
 ";Нагатинская; 1,1 км
27;12500000;"
 2-к квартира, 40 м², 30/58 эт.
 ";/moskva/kvartiry/2-k_kvartira_40_m_3058_et._1959221237;"
 Дмитровское ш., 1Б
 ";Дмитровская; 200 м
28;8200000;"
 2-к квартира, 41.8 м², 2/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_41.8_m_25_et._1838413575;"
 Заводской пр., 20
 ";Измайловская; 400 м
29;7200000;"
 2-к квартира, 43 м², 1/5 эт.
 ";/moskva/kvartiry/2-k_kvartira_43_m_15_et._1965466167;"
 ул. Константина Федина, 8
 ";Щелковская; 600 м
