;ADR;AVG_PRICE;STANDARD_DEVIATION;COEF_OF_VARIATION;AVG_PRICE_>_0;year_house;house_info
0;"
 Лукинская ул., 10
 ";182450.975;22329.321699827226;0.12238532405665262;True;Дом 2010 года;25 этажейМонолитное зданиеЦентральное отопление2,50 м потолки480 квартирГаза нетЛифтМусоропровод
1;"
 12-я Парковая ул., 5
 ";197831.25;49847.736218032005;0.25197099152955865;True;Дом 1952 года;5 этажейКирпично-монолитное здание3,50 м потолкиЛифт
2;"
 Покровская ул., 17к2
 ";140767.275;28461.645651637486;0.20218936291575926;True;Дом 2017 года;17 этажейПанельное здание2,75 м потолки160 квартирГаза нетЛифтМусоропровод
3;"
 Рождественская ул., 33
 ";152670.85;19756.90008522339;0.12940846327392158;True;Дом;Панельное зданиеЦентральное отопление2,70 м потолки768 квартирГаза нетЛифтМусоропровод
4;"
 ул. Лавриненко, 1
 ";128101.3;16427.625945644122;0.12823933828652886;True;Дом;17 этажей2,80 м потолкиЛифтМусоропровод
5;"
 Ангарская ул., 45к3
 ";168808.55;23299.869611169503;0.13802541169371754;True;Дом 2008 года;20 этажейМонолитное зданиеЦентральное отопление2,80 м потолки133 квартирыГаза нетЛифтМусоропровод
6;"
 Россошанская ул., 9к3
 ";156568.6;23647.177374688927;0.15103397089000556;True;Дом 1971 года;9 этажейПанельное зданиеЦентральное отопление2,70 м потолки283 квартирыГазЛифтМусоропровод
7;"
 Окская ул., 40
 ";140242.11538461538;24553.507481427834;0.17507941472566638;True;Дом 1963 года;Дом входит в программу сноса пятиэтажек в Москве, подробнее.5 этажейПанельное зданиеЦентральное отопление2,64 м потолки80 квартирГазЛифт отсутствуетМусоропровода нет
8;"
 Заповедная ул., 8
 ";172331.1;21866.85040855221;0.12688859067546257;True;Дом 1983 года;12 этажейПанельное зданиеЦентральное отопление2,64 м потолки191 квартираГаза нетЛифтМусоропровод
9;"
 Енисейская ул., 29
 ";186151.9;26214.038141614124;0.14082068537368744;True;Дом 1978 года;12 этажейПанельное зданиеЦентральное отопление286 квартирГаза нетЛифтМусоропровод
